PlayerID,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,AST,STL,PTS,Data
1631697,MEM,UTA,W,27.93,7,12,0.583,0,2,0.0,8,9,0.889,10,1,22,2024-10-23
1631595,MEM,UTA,W,31.43,10,16,0.625,5,10,0.5,2,2,1.0,2,0,27,2024-10-23
1631834,PHO,LAC,W,38.47,8,12,0.667,4,6,0.667,4,5,0.8,1,1,24,2024-10-23
1631954,NOP,CHI,W,29.95,9,19,0.474,5,11,0.455,0,0,0.0,5,1,23,2024-10-23
1631472,CLE,TOR,W,20.63,8,9,0.889,2,2,1.0,1,2,0.5,4,0,19,2024-10-23
1631668,CHI,NOP,L,30.7,8,12,0.667,1,2,0.5,4,5,0.8,1,0,21,2024-10-23
1631870,GSW,POR,W,14.73,8,12,0.667,5,7,0.714,1,1,1.0,1,0,22,2024-10-23
1631672,CLE,TOR,W,27.67,7,14,0.5,2,5,0.4,5,7,0.714,3,3,21,2024-10-23
1631853,CLE,TOR,W,26.08,5,7,0.714,0,0,0.0,4,5,0.8,1,1,14,2024-10-23
1632008,CHO,HOU,W,28.95,8,16,0.5,4,8,0.5,4,4,1.0,1,0,24,2024-10-23
1631880,DET,IND,L,30.07,4,4,1.0,0,0,0.0,5,6,0.833,4,0,13,2024-10-23
1631625,MEM,UTA,W,27.08,8,20,0.4,4,10,0.4,4,4,1.0,4,1,24,2024-10-23
1631966,CLE,TOR,W,18.95,6,7,0.857,2,2,1.0,0,0,0.0,6,2,14,2024-10-23
1631761,MIL,PHI,W,30.38,6,7,0.857,4,5,0.8,0,0,0.0,3,0,16,2024-10-23
1631623,HOU,CHO,L,35.45,9,23,0.391,5,15,0.333,5,5,1.0,0,0,28,2024-10-23
1631620,ORL,MIA,W,21.77,6,9,0.667,6,9,0.667,0,0,0.0,1,0,18,2024-10-23
1631968,GSW,POR,W,24.62,5,5,1.0,0,0,0.0,4,5,0.8,2,1,14,2024-10-23
1631553,IND,DET,W,36.05,7,14,0.5,3,8,0.375,3,3,1.0,4,0,20,2024-10-23
1631910,ATL,BRK,W,34.53,6,12,0.5,2,4,0.5,1,4,0.25,2,5,15,2024-10-23
1631932,TOR,CLE,L,19.98,5,9,0.556,4,5,0.8,4,6,0.667,1,1,18,2024-10-23
1632004,PHO,LAC,W,35.08,5,10,0.5,1,5,0.2,0,0,0.0,8,2,11,2024-10-23
1631604,LAC,PHO,L,39.87,10,28,0.357,2,9,0.222,7,9,0.778,8,1,29,2024-10-23
1631469,IND,DET,W,15.8,7,8,0.875,0,0,0.0,0,0,0.0,4,1,14,2024-10-23
1632000,CHI,NOP,L,17.3,5,8,0.625,1,3,0.333,4,4,1.0,0,1,15,2024-10-23
1631949,GSW,POR,W,23.07,8,15,0.533,4,7,0.571,0,0,0.0,2,0,20,2024-10-23
1631626,MIA,ORL,L,32.05,5,15,0.333,2,7,0.286,7,7,1.0,5,0,19,2024-10-23
1631487,CHI,NOP,L,36.77,10,17,0.588,5,8,0.625,2,3,0.667,3,0,27,2024-10-23
1631841,NOP,CHI,W,29.98,4,15,0.267,0,3,0.0,6,7,0.857,10,1,14,2024-10-23
1631586,PHI,MIL,L,24.2,4,7,0.571,3,5,0.6,2,4,0.5,6,0,13,2024-10-23
1631471,DET,IND,L,30.6,5,13,0.385,0,2,0.0,7,9,0.778,4,1,17,2024-10-23
1631808,UTA,MEM,L,25.1,7,16,0.438,2,5,0.4,1,2,0.5,7,0,17,2024-10-23
1631741,NOP,CHI,W,22.77,5,8,0.625,0,0,0.0,2,2,1.0,1,1,12,2024-10-23
1631813,LAC,PHO,L,33.82,8,13,0.615,0,0,0.0,5,8,0.625,3,0,21,2024-10-23
1631852,MEM,UTA,W,22.45,4,6,0.667,3,5,0.6,2,2,1.0,1,0,13,2024-10-23
1631608,IND,DET,W,27.68,5,8,0.625,2,3,0.667,7,9,0.778,1,0,19,2024-10-23
1631564,POR,GSW,L,27.9,7,18,0.389,0,5,0.0,8,9,0.889,4,0,22,2024-10-23
1631502,PHO,LAC,W,43.67,8,17,0.471,2,5,0.4,7,9,0.778,0,3,25,2024-10-23
1631988,NOP,CHI,W,25.22,3,3,1.0,0,0,0.0,3,4,0.75,1,4,9,2024-10-23
1631999,MIL,PHI,W,25.85,7,10,0.7,1,1,1.0,1,1,1.0,3,2,16,2024-10-23
1631903,POR,GSW,L,27.48,4,10,0.4,0,3,0.0,7,8,0.875,2,2,15,2024-10-23
1631984,UTA,MEM,L,28.53,4,7,0.571,3,5,0.6,1,2,0.5,0,2,12,2024-10-23
1631875,TOR,CLE,L,29.27,5,13,0.385,2,6,0.333,4,4,1.0,1,0,16,2024-10-23
1631696,ORL,MIA,W,12.53,3,4,0.75,1,2,0.5,4,4,1.0,4,1,11,2024-10-23
1632013,BRK,ATL,L,33.97,3,7,0.429,2,5,0.4,8,8,1.0,1,0,16,2024-10-23
1631978,ORL,MIA,W,26.62,3,7,0.429,1,2,0.5,1,2,0.5,2,2,8,2024-10-23
1631927,LAC,PHO,L,25.82,4,4,1.0,2,2,1.0,1,2,0.5,1,1,11,2024-10-23
1631488,MIA,ORL,L,28.75,5,11,0.455,2,5,0.4,2,2,1.0,3,0,14,2024-10-23
1631673,UTA,MEM,L,24.98,5,8,0.625,0,0,0.0,6,8,0.75,3,1,16,2024-10-23
1631772,PHI,MIL,L,38.98,10,31,0.323,2,9,0.222,3,4,0.75,3,1,25,2024-10-23
1631886,PHO,LAC,W,32.13,5,9,0.556,4,5,0.8,1,2,0.5,6,1,15,2024-10-23
