OrganizationID,OrganizationName,OrganizationType
255,Tennessee Tech,College/University
256,Wichita State,College/University
257,Boston University,College/University
258,Mount St. Mary's,College/University
259,Southeastern Oklahoma State,College/University
260,Western Illinois,College/University
261,Wayne State (MI),College/University
262,Lenoir-Rhyne,College/University
263,Texas,College/University
264,Saint Michael's,College/University
265,Kentucky Wesleyan,College/University
266,Kentucky State,College/University
267,Texas Southern,College/University
268,North Dakota State,College/University
269,Mississippi,College/University
270,Dakota Wesleyan,College/University
271,Macalester,College/University
272,New York Tech,College/University
273,Florida Southern,College/University
274,Franciscan,College/University
275,Saint Francis (PA),College/University
276,Rockhurst,College/University
277,Thomas More,College/University
278,Loyola (LA),College/University
279,Coe,College/University
280,Alabama State,College/University
281,Tennessee State,College/University
282,Fresno State,College/University
283,Scranton,College/University
284,Georgetown (KY),College/University
285,Pacific Lutheran,College/University
286,Hardin-Simmons,College/University
287,North Texas,College/University
288,Davis & Elkins,College/University
289,Lake Superior State,College/University
290,Hope,College/University
291,St. Cloud State,College/University
292,Providence,College/University
293,Wake Forest,College/University
294,Pacific,College/University
295,West Virginia Wesleyan,College/University
296,North Carolina A&T,College/University
297,Christian Brothers,College/University
298,Gonzaga,College/University
299,Hawaii,College/University
300,Creighton,College/University
301,Auburn,College/University
302,Montana State,College/University
303,Portland,College/University
304,Winston-Salem State,College/University
305,Virginia Tech,College/University
306,East Tennessee State,College/University
307,Belmont Abbey,College/University
308,South Dakota State,College/University
309,Virginia Union,College/University
310,Jackson State,College/University
311,Pikeville,College/University
312,Northern State,College/University
313,Hampton,College/University
314,Doane,College/University
315,Wabash,College/University
316,Milwaukee,College/University
317,Northern Michigan,College/University
318,Allan Hancock College,College/University
319,Concordia (MO),College/University
320,SUNY Brockport,College/University
321,Monmouth,College/University
322,Prairie View A&M,College/University
323,Eastern,High School
324,Jacksonville,College/University
325,Citadel,College/University
326,Lawrence,College/University
327,Texas-Pan American,College/University
328,Elizabeth City State,College/University
329,Carson-Newman,College/University
330,Pratt,College/University
331,Maine,College/University
332,Lewis,College/University
333,Williams,College/University
334,Caltech,College/University
335,Western Carolina,College/University
336,Delaware,College/University
337,Florida A&M,College/University
338,Westminster (PA),College/University
339,Howard Payne,College/University
340,Philadelphia University,College/University
341,Lakeland,College/University
342,Oklahoma Christian,College/University
343,Southeast Missouri State,College/University
344,Northern Iowa,College/University
345,Virginia State,College/University
346,Lewis & Clark,College/University
347,Chapman,College/University
348,Clark (MA),College/University
349,St. Mary of the Plains,College/University
350,Abilene Christian,College/University
351,Randolph-Macon,College/University
352,Morris Brown,College/University
353,Sir George Williams (CAN),College/University
354,Virginia Military Institute,College/University
355,Davidson,College/University
356,Elon,College/University
357,Arkansas-Pine Bluff,College/University
358,Southern University,College/University
359,Long Beach State,College/University
360,Ouachita Baptist,College/University
361,Central State (OH),College/University
362,Alliance,College/University
363,North Carolina-Wilmington,College/University
364,Dillard,College/University
365,Louisiana-Lafayette,College/University
366,Hiram,College/University
367,Miles,College/University
368,Cleveland State,College/University
369,Augsburg,College/University
370,Benedict,College/University
371,Albany State (GA),College/University
372,Fairfield,College/University
373,Oklahoma Baptist,College/University
374,Hiram Scott,College/University
375,Nebraska-Omaha,College/University
376,Cheyney,College/University
377,Bethune-Cookman,College/University
378,South Carolina State,College/University
379,California-Santa Barbara,College/University
380,Nevada-Las Vegas,College/University
381,Santa Fe,College/University
382,Otterbein,College/University
383,Lincoln (MO),College/University
384,Albuquerque,College/University
385,Massachusetts Lowell,College/University
