season,player_id,first_name,last_name,player_name,position,height_wo_shoes,wingspan,standing reach,body fat pct,standing vertical leap,maximum vertical leap,lane agility time,three quarter sprint,bench press
2019,1629662,Mfiondu,Kabengele,Mfiondu Kabengele,PF,6' 8.75'',87,109.5,5.1,28,35.5,11.21,3.25,6
2019,1629663,Louis,King,Louis King,SF,6' 6.75'',84.25,104.5,4.8,29,33,10.99,3.28,0
2019,1629641,Romeo,Langford,Romeo Langford,SG,6' 4.5'',83,103,NULL,NULL,NULL,NULL,NULL,NULL
2019,1629664,Dedric,Lawson,Dedric Lawson,PF,6' 7'',86.25,107.5,8.9,23.5,26,11.8,3.6,10
2019,1629665,Jalen,Lecque,Jalen Lecque,PG,6' 2.5'',80.5,98.5,4,35,43,11.09,3.29,1
2019,1629642,Nassir,Little,Nassir Little,SF,6' 4.5'',85.25,104.5,5.9,31,38.5,12.15,3.24,5
2019,1629611,Terance,Mann,Terance Mann,SG-SF,6' 4.75'',79.75,101,4,32.5,38.5,11.51,3.3,6
2019,1628998,Cody,Martin,Cody Martin,PG-SG,6' 4.75'',82.25,102.5,5,28,35.5,10.44,3.32,7
2019,1629666,Charles,Matthews,Charles Matthews,SG,6' 5'',81.5,103,3.8,29.5,37.5,11.26,3.38,9
2019,1629667,Jalen,McDaniels,Jalen McDaniels,SF,6' 8.25'',84.25,105.5,5.7,29.5,33.5,11.54,3.32,0
2019,1629630,Ja,Morant,Ja Morant,PG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,1629668,Zach,Norvell Jr.,Zach Norvell Jr.,SG,6' 4.5'',78,101,7.5,24,30,11.6,3.43,NULL
2019,1629669,Jaylen,Nowell,Jaylen Nowell,SG,6' 3.25'',79.25,98,6.1,32,38.5,10.76,3.23,2
2019,1629670,Jordan,Nwora,Jordan Nwora,PF,6' 5.75'',82.5,103,7.8,NULL,NULL,NULL,NULL,NULL
2019,1629643,Chuma,Okeke,Chuma Okeke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,1629644,KZ,Okpala,KZ Okpala,SF,6' 7.25'',85.75,106.5,4.6,30.5,37,10.88,3.38,9
2019,1629671,Miye,Oni,Miye Oni,SG,6' 4.25'',82.75,100.5,4.9,30.5,38.5,11.71,3.17,19
2019,1629672,Eric,Paschall,Eric Paschall,SF,6' 6'',87.75,103.5,6.3,33,38,11.63,3.3,18
2019,1629617,Reggie,Perry,Reggie Perry,SF-PF,6' 8'',84.5,106,6.7,28.5,31.5,12.46,3.3,15
2019,1629044,Shamorie,Ponds,Shamorie Ponds,PG,5' 11.5'',75.5,96.5,9.8,29,37,11.01,3.2,0
2019,1629673,Jordan,Poole,Jordan Poole,SG,6' 3.5'',78.75,99.5,7.5,28,35.5,10.59,3.27,NULL
2019,1629007,Jontay,Porter,Jontay Porter,PF,6' 9.75'',84,109.5,8.5,NULL,NULL,NULL,NULL,NULL
2019,1629645,Kevin,Porter Jr.,Kevin Porter Jr.,SG,6' 4'',81,103,5.1,27,34,10.82,3.14,2
2019,1629674,Neemias,Queta,Neemias Queta,C,6' 10.75'',88.25,111.5,6.3,24,32.5,12.04,3.73,1
2019,1629629,Cameron,Reddish,Cameron Reddish,SF,6' 6.5'',84.5,105.5,4.7,NULL,NULL,NULL,NULL,NULL
2019,1629675,Naz,Reid,Naz Reid,PF,6' 8.75'',87.25,109,14,26,32.5,12.03,3.42,3
2019,1629676,Isaiah,Roby,Isaiah Roby,PF,6' 7.25'',85,106,3.9,32.5,35.5,10.63,3.25,9
2019,1629677,Luka,Samanic,Luka Samanic,PF,6' 9.5'',82.5,107,5.6,27,38,11.01,3.27,7
2019,1629678,Admiral,Schofield,Admiral Schofield,SF,6' 4'',81.75,102.5,6.8,30,34,10.77,3.37,15
2019,1629621,Marial,Shayok,Marial Shayok,SF-PF,6' 4.5'',84.25,103.5,4.7,29.5,36.5,11.16,3.37,9
2019,1629679,Simisola,Shittu,Simisola Shittu,PF,6' 8.5'',85.25,106,6.2,27,35.5,11.85,3.3,11
2019,1629681,Killian,Tillie,Killian Tillie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,1629023,P.J.,Washington,P.J. Washington,PF,6' 6.5'',86.5,106.5,8.6,NULL,NULL,NULL,NULL,NULL
2019,1629682,Tremont,Waters,Tremont Waters,PG,5' 9.5'',74.25,93.5,6.6,30.5,40.5,10.76,3.07,5
2019,1629683,Quinndary,Weatherspoon,Quinndary Weatherspoon,SG,6' 3'',81,100,6.1,31,38,11.57,3.16,NULL
2019,1629632,Coby,White,Coby White,PG,6' 3.5'',77,97.5,4.3,NULL,NULL,NULL,NULL,NULL
2019,1629025,Kris,Wilkes,Kris Wilkes,SF,6' 6.25'',82.75,103,4.9,27.5,35,10.39,3.34,4
2019,1629684,Grant,Williams,Grant Williams,PF,6' 5.75'',81.75,104.5,5.4,26,31.5,10.83,3.33,20
2019,1629627,Zion,Williamson,Zion Williamson,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,1629685,Dylan,Windler,Dylan Windler,SF,6' 6.25'',82,104.5,4.6,29,37.5,10.7,3.3,8
2020,1630173,Precious,Achiuwa,Precious Achiuwa,PF,6'7.50'',84.75,108.5,6.7,NULL,NULL,NULL,NULL,NULL
2020,1630234,Ty-Shon,Alexander,Ty-Shon Alexander,SG,6'2.00'',80,100,12.3,28,33,11.33,3.26,NULL
2020,1628962,Udoka,Azubuike,Udoka Azubuike,C,6'10.00'',91.25,109,9.61,37,41,11.82,3.23,NULL
2020,1630189,Tyler,Bey,Tyler Bey,PF,6'6.00'',85.25,105.5,5,37,43.5,11.35,3.17,NULL
2020,1630213,Yoeli,Childs,Yoeli Childs,PF,6'6.00'',83.5,106,8.2,34,38.5,10.87,3.22,NULL
2020,1629603,Mamadi,Diakite,Mamadi Diakite,PF,6'8.50'',87.75,107,7.83,28,37,11.95,3.16,NULL
2020,1629653,Devon,Dotson,Devon Dotson,PG,6'0.50'',75,95,4.6,31.5,40.5,10.44,3.02,NULL
2020,1630220,Paul,Eboua,Paul Eboua,SF-PF,6'6.00'',87.5,108,3.8,33,35.5,10.79,3.19,NULL
2020,1629604,CJ,Elleby,CJ Elleby,SG-SF,6'5.50'',79.25,100.5,4.2,30.5,36.5,11.25,3.25,NULL
